Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
DAL,2025,1497.71,18.2003,-0.204692,0.201333,0.77791,0.1585,0.1842,-0.000748139,0.1475,0.149,0.0874533,0.011,29.6,29.3,0.3,4,5.0604,4.78536,3
CHI,2025,1497.46,13.7198,-0.214907,-0.482573,1.10049,0.0363,0.0841,0.0333701,0.0347,0.0194,-0.0228943,0.0016,25.8,26.4,-0.6,7,4.8638,4.93419,7
ATL,2025,1485.8,42.4888,-0.681328,1.14509,0.397842,-0.0356,-0.042,-0.0190552,0.052,-0.004,0.0543608,-0.0876,19.5,23.9,-4.4,3,3.8173,4.79677,6
MIN,2025,1456.36,-24.8982,-1.85897,-0.848838,-2.58742,-0.1051,-0.1628,-0.055908,-0.0561,-0.0579,-0.0130087,-0.049,21.8,23.2,-1.4,4,4.6319,5.67467,3
JAX,2025,1451.23,-7.9706,-2.06397,0.196807,-0.116357,0.0237,-0.0542,0.0605042,-0.0035,-0.0412,-0.0455121,0.0272,24,22.6,1.4,6,5.3555,4.7356,6
ARI,2025,1423.39,-40.7978,-3.17776,-0.322549,-3.36832,-0.0126,0.0349,-0.0682897,0.0487,0.0704,-0.0575003,-0.0613,22.4,25.6,-3.2,3,4.2154,5.32575,3
WAS,2025,1418.36,-36.9243,-3.3787,-0.453369,-5.22735,0.052,0.0312,0.0201927,0.1612,0.2574,0.00609055,-0.1092,21.4545,26.9091,-5.4545,3,4.0581,5.95435,3
CAR,2025,1402.98,7.7236,-3.99402,0.281514,1.6073,-0.018,-0.0816,-0.016169,0.0559,0.1541,-0.0283538,-0.0739,18.8182,22.6364,-3.8182,6,4.3149,4.74858,4
MIA,2025,1391.26,-16.4745,-4.46278,-0.453369,-4.22613,0.0331,0.0097,-0.0221963,0.1046,0.1997,0.00339458,-0.0714,20.5455,24.4545,-3.9091,4,4.3807,4.70026,6
NYG,2025,1383.86,-26.413,-4.75861,-0.882451,-0.0184178,0.0431,-0.0224,0.0234184,0.1394,0.0818,0.165989,-0.0963,21.5455,27.2727,-5.7273,2,4.0024,2.99342,3
CLE,2025,1383.47,-47.8386,-4.77427,-0.787959,-0.196099,-0.1971,-0.3174,-0.0265118,-0.0685,-0.0559,-0.139199,-0.1286,16.2,23.4,-7.2,2,2.9494,3.48326,4
CIN,2025,1374.67,-49.4876,-5.12633,-1.58215,-6.79874,0.0179,-0.0823,0.0421369,0.2024,0.3023,0.110062,-0.1845,22.8,33.4,-10.6,3,2.8805,5.31604,2
OAK,2025,1360.95,-21.9018,-5.67531,-0.984419,-3.23796,-0.1632,-0.1479,-0.223628,0.0287,0.0957,-0.0793701,-0.1919,15.5,25.3,-9.8,2,2.3845,4.23053,3
NYJ,2025,1351.77,-15.0767,-6.04238,-2.07433,-2.88016,-0.009,-0.1033,-0.0364523,0.1077,0.1546,0.0132784,-0.1167,20.9,26.8,-5.9,2,3.5679,4.06012,2
NO,2025,1334.97,-4.8394,-6.71426,-0.453369,-0.686523,-0.1652,-0.13,-0.134565,0.0226,0.0873,-0.0962062,-0.1879,15.5,25,-9.5,2,2.4362,3.79089,2
TEN,2025,1293.38,-18.3998,-8.37784,0.882714,-3.54477,-0.1752,-0.2602,-0.140372,0.0862,0.1559,-0.00405363,-0.2614,14.3,27.3,-13,1,1.7763,2.74634,1
